"|","time","accelerations__z","accelerations__y","accelerations__x","rotation__gamma","rotation__alpha","rotation__beta","uuid","location__longitude","location__latitude"
"-JlgVdVDGrlRIgzpdNXA","1427749638821","14.36640739440918","4.641160011291504","-4.015076160430908","-0.8263788819313049","-0.5989449620246887","0.7225156426429749","1a122210-4044-429a-be47-cf137b1e502b","",""
"-JlfzLn7cI8rYwAVQYCY","1427740912972","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533999","47.4727397"
"-JlgMSBEsmxVvH5vjXQh","1427747229076","2.9047651290893555","7.954735279083252","3.7056257724761963","1.167529821395874","-0.7123956084251404","-0.25912559032440186","45f315f8-463c-487d-b1e3-304b4bb918b4","",""
"-JlgX7FbEWEfruBk1Y-A","1427750026954","9.513958930969238","6.317699909210205","3.803189516067505","-0.5446164608001709","-0.3768373131752014","-1.2186625003814697","38d53a4c-e37d-4408-b0fa-a05f958f0b1c","",""
"-JlgW_3gW-WFDEDiWeUU","1427749882835","6.3302693367004395","2.8095955848693848","1.1300631761550903","3.163036584854126","0.5850964784622192","-0.07696535438299179","38d53a4c-e37d-4408-b0fa-a05f958f0b1c","",""
"-JlfxSCuIUkaB1zmg8db","1427740414974","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533722","47.4727068"
"-JlgNn8xrSxvbHGpURgi","1427747581366","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-JlgHjWueL43WigkqMAe","1427745993925","8.745420455932617","4.997297286987305","-0.4537012279033661","0.06072007492184639","0.057257965207099915","-0.04447479173541069","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgOD-bazO9HHAuWrSQ","1427747691366","5.137956619262695","5.592256546020508","5.474940776824951","-0.3020024597644806","-1.1566108465194702","-1.2889699935913086","5afb7df1-1646-4ee7-be55-b45e8110a04e","",""
"-Jlg-FtztjiAwYzkF6lp","1427741150979","","","","","","","e32436fb-6520-484f-9d4e-4acb220de8c0","19.0533917","47.4727002"
"-JlgHKuephjRv39qfqs0","1427745889016","6.0872578620910645","6.162076473236084","3.2411506175994873","0.1203748807311058","0.6032059788703918","0.30466562509536743","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
"-JlgH0dl2K35cSAGvyDY","1427745806015","6.209362030029297","2.6629507541656494","4.462193489074707","0.3893541693687439","-1.5390408039093018","-2.7340011596679688","5a200e6c-97ca-439e-8cb9-1644f88f597f","",""
